      Date ,BOPD,BWPD,Gas Rate,BLPD,Reservoir
31-May-75,45.58,0.03,23226,45.61,AA-3
30-Jun-75,767.87,0.37,343667,768.23,AA-3
31-Jul-75,1740,0.9,785161,1740.9,AA-3
31-Aug-75,1885.58,0.94,747516,1886.52,AA-3
30-Sep-75,2080.37,1.1,1090533,2081.47,AA-3
31-Oct-75,1780.26,0.9,732484,1781.16,AA-3
30-Nov-75,1463.1,1.73,405333,1464.83,AA-3
31-Dec-75,1243.52,29.45,466065,1272.97,AA-3
31-Jan-76,1306.39,41.16,516548,1347.55,AA-3
29-Feb-76,1496.66,76.55,495690,1573.21,AA-3
31-Mar-76,909.52,34.68,293323,944.19,AA-3
30-Apr-76,1070.33,63.73,447733,1134.07,AA-3
31-May-76,1406.03,80.45,494032,1486.48,AA-3
30-Jun-76,1241.13,64.2,332067,1305.33,AA-3
31-Jul-76,1175.39,67,346710,1242.39,AA-3
31-Aug-76,1169.03,81.26,333742,1250.29,AA-3
30-Sep-76,1172.13,105.53,463600,1277.67,AA-3
31-Oct-76,1186.06,63.9,335065,1249.97,AA-3
30-Nov-76,1194.9,73.77,504067,1268.67,AA-3
31-Dec-76,1149.26,73.32,528355,1222.58,AA-3
31-Jan-77,1148.81,114.45,428774,1263.26,AA-3
28-Feb-77,979.64,51.18,271464,1030.82,AA-3
31-Mar-77,1152.32,60.23,319129,1212.55,AA-3
30-Apr-77,1172.6,119.43,303300,1292.03,AA-3
31-May-77,1255.81,111.52,373323,1367.32,AA-3
30-Jun-77,1223.2,158.1,328033,1381.3,AA-3
31-Jul-77,932.45,126.58,310484,1059.03,AA-3
31-Aug-77,634.32,73.9,248484,708.23,AA-3
30-Sep-77,,,,,AA-3
31-Oct-77,523.81,41.74,169161,565.55,AA-3
30-Nov-77,1393.53,112.5,526033,1506.03,AA-3
31-Dec-77,972.19,75.06,379742,1047.26,AA-3
31-Jan-78,1122.65,91.06,431903,1213.71,AA-3
28-Feb-78,1373.68,115.64,494607,1489.32,AA-3
31-Mar-78,1321.58,129.58,419419,1451.16,AA-3
30-Apr-78,1148.33,114.7,371000,1263.03,AA-3
31-May-78,1158.84,102.13,391355,1260.97,AA-3
30-Jun-78,1043.33,98.8,362533,1142.13,AA-3
31-Jul-78,1102.16,157.97,419355,1260.13,AA-3
31-Aug-78,936.26,57.06,378839,993.32,AA-3
30-Sep-78,1010.13,163.3,286967,1173.43,AA-3
31-Oct-78,1411.9,195.45,344581,1607.35,AA-3
30-Nov-78,1105.93,127.1,289833,1233.03,AA-3
31-Dec-78,1251.68,80.97,336742,1332.65,AA-3
31-Jan-79,1107.87,62.97,301903,1170.84,AA-3
28-Feb-79,1096.04,39.96,342393,1136,AA-3
31-Mar-79,1092.42,47.9,314419,1140.32,AA-3
30-Apr-79,1092.83,45.27,343267,1138.1,AA-3
31-May-79,972.13,31.39,300935,1003.52,AA-3
30-Jun-79,965,85.5,301700,1050.5,AA-3
31-Jul-79,1138.87,95.61,307613,1234.48,AA-3
31-Aug-79,1163.06,85.45,289903,1248.52,AA-3
30-Sep-79,962.47,52.77,278033,1015.23,AA-3
31-Oct-79,1045.42,88.65,303871,1134.06,AA-3
30-Nov-79,1057.97,105.43,294533,1163.4,AA-3
31-Dec-79,896.9,64.42,350129,961.32,AA-3
31-Jan-80,1031.35,91.52,353097,1122.87,AA-3
29-Feb-80,1218.66,53.14,406897,1271.79,AA-3
31-Mar-80,1287.16,72.16,377290,1359.32,AA-3
30-Apr-80,1159.03,107.77,353800,1266.8,AA-3
31-May-80,916.16,66.68,268903,982.84,AA-3
30-Jun-80,1184.23,70.93,436533,1255.17,AA-3
31-Jul-80,1583.1,88.55,456742,1671.65,AA-3
31-Aug-80,2199.81,143.81,615710,2343.61,AA-3
30-Sep-80,1655.27,86.67,369700,1741.93,AA-3
31-Oct-80,1434.06,32.29,342419,1466.35,AA-3
30-Nov-80,1720.47,64.63,476333,1785.1,AA-3
31-Dec-80,2323.94,51.84,604613,2375.77,AA-3
31-Jan-81,2179.71,34.29,547645,2214,AA-3
28-Feb-81,2524.86,34.5,748893,2559.36,AA-3
31-Mar-81,2581.03,88.77,655484,2669.81,AA-3
30-Apr-81,2588.73,100.77,667833,2689.5,AA-3
31-May-81,2871.06,49.65,737161,2920.71,AA-3
30-Jun-81,2133.27,72.53,690200,2205.8,AA-3
31-Jul-81,1045.77,15.19,368323,1060.97,AA-3
31-Aug-81,1983.55,68.65,556742,2052.19,AA-3
30-Sep-81,2284.7,92.03,555567,2376.73,AA-3
31-Oct-81,3903.45,155.1,837387,4058.55,AA-3
30-Nov-81,3710.17,115.37,836600,3825.53,AA-3
31-Dec-81,3992.58,144.19,922484,4136.77,AA-3
31-Jan-82,3926.65,115.23,892258,4041.87,AA-3
28-Feb-82,4137.39,152.43,843607,4289.82,AA-3
31-Mar-82,4867,72.03,1176419,4939.03,AA-3
30-Apr-82,3024.77,46.9,651100,3071.67,AA-3
31-May-82,3367.52,70.23,902839,3437.74,AA-3
30-Jun-82,7456,120.07,1837000,7576.07,AA-3
31-Jul-82,7119.68,87.9,1967226,7207.58,AA-3
31-Aug-82,7073.26,199.42,2076968,7272.68,AA-3
30-Sep-82,6967.8,191.43,1823733,7159.23,AA-3
31-Oct-82,7422.9,167.52,2075677,7590.42,AA-3
30-Nov-82,6485.6,131.93,2803100,6617.53,AA-3
31-Dec-82,6035.65,222.77,3559839,6258.42,AA-3
31-Jan-83,2509.94,54.97,1153839,2564.9,AA-3
28-Feb-83,5532.43,281.57,2183143,5814,AA-3
