FIELD,WELL,DATE,RESERVOIR_SAND,Measurement_TYPE,GAUGE _DEPTH_MDRKB_ft,GAUGE_DEPTH_TVDSS_ft,Borehole_FluidDensity_psi/ft,GAUGE_DEPTH_TVDSS_ft,Resv_FluidDensity_psi/ft,Corr_TO_DATUM_psi,Pressure_Gauge_SI_BHP_psig,PressureDatum_SI_BHP_psig
IPMC,IZ-17SS,30093,AA-3,static,5499.93312,5314.928808,0.091,6364.8,0.09,-5.9,2660.6,2654.7
IPMC,IZ-17SS,30334,AA-3,static,5493.37152,5308.367208,0.091,6214.9,0.09,7.7,2573.8,2581.6
IPMC,IZ-17SS,30751,AA-3,static,5499.93312,5314.928808,0.066,6214.9,0.07,5.6,2579.5,2585.1
IPMC,IZ-17SS,30925,AA-3,static,5499.93312,5314.928808,0.062,6214.9,0.06,5.3,2525.5,2530.7
IPMC,IZ-17SS,31140,AA-3,static,5499.93312,5314.928808,0.063,5314.9,0.06,62.0,2433.0,2495.1
IPMC,IZ-17SS,31348,AA-3,static,5499.93312,5314.928808,0.060,5314.9,0.06,58.9,2384.6,2443.5
IPMC,IZ-17SS,31556,AA-3,static,4999.709544,4814.705232,0.061,6299.0,0.06,0.1,2351.4,2351.5
IPMC,IZ-17SS,31741,AA-3,static,5499.670656,5314.666344,0.061,5314.9,0.06,59.8,2269.1,2328.9
IPMC,IZ-17SS,31947,AA-3,static,5459.677704,5274.673392,0.065,5314.7,0.07,64.1,2272.5,2336.6
IPMC,IZ-17SS,32123,AA-3,static,5459.677704,5274.673392,0.277,5317.0,0.28,272.7,2043.6,2316.2
IPMC,IZ-17SS,32284,AA-3,static,5459.677704,5274.673392,0.065,6299.0,0.07,0.1,2214.2,2214.3
IPMC,IZ-17SS,34130,AA-3,static,5199.674304,5015.68704,0.056,5314.7,0.06,55.5,2115.1,2170.6
IPMC,IZ-17SS,36456,AA-3,static,5453,5269,0.303,6314.9,0.30,-4.5,2183.6,2179.1
IPMC,IZ-17SS,36679,AA-3,static,5460,5276,0.056,6314.6,0.06,-0.8,2111.7,2110.9
IPMC,IZ-17SS,37439,AA-3,static,5370,5186,0.046,6353.6,0.05,-2.5,2061.6,2059.2
IPMC,IZ-17SS,39942,AA-3,static,5422,5214,0.273,6315.0,0.27,-4.1,1929.7,1925.6
IPMC,IZ-17SS,40302,AA-3,static,5422,5214,0.308,6315.0,0.31,-4.6,1686.0,1681.4
IPMC,IZ-17SS,40711,AA-3,static,5422,5214,0.309,5815.0,0.31,149.9,1547.0,1696.9
IPMC,IZ-17SS,41031,AA-3,static,5422,5214,0.160,6173.0,0.16,20.3,1652.4,1672.7
IPMC,IZ-17SS,41353,AA-3,static,5422,5214,0.426,6292.0,0.43,3.4,1659.0,1662.4
IPMC,IZ-15RS,41355,AA-3,static,5471,5264,0.425,6292.0,0.43,3.4,1661.0,1664.4
,,,,,,,0.278,5314.9,0.28,23.7,2289.4,2313.1
,,,,,,,0.278,5308.4,0.28,25.5,2241.1,2266.6
,,,,,,,0.264,5314.9,0.26,22.5,2165.7,2188.2
,,,,,,,0.260,5314.9,0.26,22.2,2144.4,2166.5
,,,,,,,0.152,5314.9,0.15,13.0,2110.2,2123.2
,,,,,,,0.260,5314.9,0.26,22.2,2094.9,2117.1
,,,,,,,0.186,4814.7,0.19,109.1,1895.4,2004.5
,,,,,,,0.334,5314.7,0.33,28.5,2053.5,2082.1
,,,,,,,0.420,5274.7,0.42,52.8,2026.5,2079.3
,,,,,,,0.355,5274.7,0.36,44.6,2010.6,2055.2
,,,,,,,0.425,5274.7,0.43,53.3,2011.6,2064.9
,,,,,,,0.369,5258.7,0.37,52.2,1968.0,2020.3
,,,,,,,0.034,5015.7,0.03,13.0,1935.6,1948.6
,,,,,,,0.429,5269.0,0.43,56.2,1669.2,1725.4
,,,,,,,0.343,5276.0,0.43,42.5,1712.9,1755.5
,,,,,,,0.421,5186.0,0.43,90.5,1639.4,1729.9
,,,,,,,0.427,5214.0,0.43,79.4,1671.0,1750.4
,,,,,,,0.432,5214.0,0.43,80.4,1646.0,1726.4
,,,,,,,0.420,5214.0,0.42,78.1,1664.6,1728.0
,,,,,,,0.429,5214.0,0.42,79.8,1672.0,1746.0
,,,,,,,0.438,5214.0,0.42,81.5,1688.0,1735.8
,,,,,,,,,,,,
