      Date ,Oil Test Volume bbl ,Water Test Volume bbl ,    TEST.GOR cf/bbl ,Gas Test Volume M ,Choke Size CHOKE  , BLPD bbl 
03/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
04/01/1996,1928.00,150.00,753.00,1452.00,64.00,2077.00
05/01/1996,1828.00,2763.00,692.00,1265.00,64.00,4591.00
06/01/1996,481.00,2077.00,834.00,401.00,0.00,2557.00
07/01/1996,2464.00,2100.00,746.00,1839.00,64.00,4564.00
08/01/1996,315.00,853.00,558.00,176.00,64.00,1168.00
09/01/1996,1257.00,1257.00,375.00,471.00,64.00,2514.00
11/01/1996,1438.00,2634.00,492.00,708.00,64.00,4072.00
12/01/1996,1228.00,819.00,853.00,1048.00,56.00,2047.00
15/01/1996,1893.00,180.00,815.00,1542.00,64.00,2073.00
17/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
18/01/1996,1917.00,167.00,724.00,1387.00,0.00,2083.00
19/01/1996,779.00,3335.00,555.00,432.00,0.00,4113.00
20/01/1996,1237.00,824.00,936.00,1157.00,56.00,2061.00
21/01/1996,184.00,1487.00,1208.00,222.00,0.00,1671.00
22/01/1996,311.00,840.00,271.00,84.00,0.00,1150.00
23/01/1996,1332.00,1090.00,253.00,337.00,64.00,2422.00
24/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
25/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
26/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
27/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
28/01/1996,0.00,0.00,0.00,0.00,0.00,0.00
02/02/1996,1234.00,823.00,883.00,1090.00,56.00,2057.00
07/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
08/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
09/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
10/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
11/02/1996,2520.00,2032.00,1242.00,3130.00,56.00,4552.00
13/02/1996,1233.00,822.00,848.00,1046.00,56.00,2056.00
14/02/1996,1507.00,2594.00,997.00,1502.00,56.00,4101.00
21/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
22/02/1996,0.00,0.00,0.00,0.00,0.00,0.00
23/02/1996,1846.00,183.00,592.00,1092.00,0.00,2029.00
24/02/1996,244.00,1384.00,1089.00,266.00,0.00,1629.00
25/02/1996,2450.00,2040.00,638.00,1564.00,56.00,4489.00
26/02/1996,266.00,843.00,891.00,237.00,0.00,1109.00
01/03/1996,1262.00,1165.00,260.00,328.00,0.00,2427.00
02/03/1996,2046.00,1675.00,805.00,1647.00,0.00,3722.00
03/03/1996,609.00,1828.00,668.00,407.00,0.00,2437.00
06/03/1996,1865.00,200.00,693.00,1292.00,0.00,2065.00
07/03/1996,317.00,816.00,911.00,289.00,64.00,1133.00
08/03/1996,1813.00,247.00,787.00,1426.00,64.00,2060.00
09/03/1996,0.00,0.00,0.00,0.00,0.00,0.00
10/03/1996,167.00,1506.00,7669.00,1283.00,64.00,1673.00
11/03/1996,1229.00,819.00,883.00,1085.00,56.00,2048.00
12/03/1996,1213.00,1213.00,787.00,954.00,64.00,2426.00
13/03/1996,1794.00,252.00,782.00,1403.00,0.00,2045.00
15/03/1996,1234.00,1234.00,571.00,704.00,64.00,2468.00
17/03/1996,1836.00,250.00,657.00,1206.00,0.00,2087.00
18/03/1996,162.00,1459.00,2603.00,422.00,64.00,1621.00
19/03/1996,571.00,1911.00,813.00,464.00,64.00,2482.00
20/03/1996,0.00,0.00,0.00,0.00,0.00,0.00
21/03/1996,2009.00,1690.00,891.00,1790.00,64.00,3699.00
22/03/1996,1834.00,2668.00,880.00,1614.00,56.00,4501.00
23/03/1996,1450.00,2730.00,625.00,906.00,64.00,4179.00
24/03/1996,1242.00,828.00,871.00,1081.00,56.00,2069.00
25/03/1996,0.00,0.00,0.00,0.00,0.00,0.00
26/03/1996,1496.00,2059.00,581.00,870.00,64.00,3555.00
28/03/1996,1828.00,226.00,749.00,1370.00,0.00,2054.00
03/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
04/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
05/04/1996,296.00,889.00,574.00,170.00,0.00,1186.00
06/04/1996,598.00,1793.00,934.00,558.00,0.00,2391.00
07/04/1996,1833.00,227.00,764.00,1400.00,64.00,2060.00
08/04/1996,198.00,1453.00,1453.00,288.00,64.00,1651.00
10/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
11/04/1996,1229.00,1181.00,347.00,426.00,64.00,2410.00
18/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
20/04/1996,299.00,851.00,498.00,149.00,64.00,1151.00
21/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
22/04/1996,202.00,1482.00,995.00,201.00,64.00,1684.00
23/04/1996,0.00,0.00,0.00,0.00,0.00,0.00
27/04/1996,1240.00,1240.00,181.00,225.00,0.00,2480.00
29/04/1996,522.00,1852.00,212.00,111.00,0.00,2375.00
01/05/1996,0.00,0.00,0.00,0.00,0.00,0.00
02/05/1996,0.00,0.00,0.00,0.00,0.00,0.00
