BOPD,BWPD,GasRateMscf
1928,150,1452
1828,2763,1265
481,2077,401
2464,2100,1839
315,853,176
1257,1257,471
1438,2634,708
1228,819,1048
1893,180,1542
1917,167,1387
779,3335,432
1237,824,1157
184,1487,222
311,840,84
1332,1090,337
1234,823,1090
2520,2032,3130
1233,822,1046
1507,2594,1502
1846,183,1092
244,1384,266
2450,2040,1564
266,843,237
1262,1165,328
2046,1675,1647
609,1828,407
1865,200,1292
317,816,289
1813,247,1426
167,1506,1283
1229,819,1085
1213,1213,954
1794,252,1403
1234,1234,704
1836,250,1206
162,1459,422
571,1911,464
2009,1690,1790
1834,2668,1614
1450,2730,906
1242,828,1081
1496,2059,870
1828,226,1370
296,889,170
598,1793,558
1833,227,1400
198,1453,288
1229,1181,426
299,851,149
202,1482,201
1240,1240,225
522,1852,111
564,1785,93
198,1453,1200
285,771,65
1277,1133,1450
199,1458,102
1845,228,1327
455,1938,113
1199,833,1064
2387,2135,1319
519,1839,26
1193,795,1055
523,1887,98
1764,282,1281
1194,796,1119
1172,781,1072
1744,279,1631
1768,241,1400
1349,2256,1620
520,1844,53
1717,327,1504
294,795,413
1201,1154,451
1699,324,1146
1700,348,1461
256,769,390
254,762,385
1143,762,1122
193,1418,451
1057,705,1261
474,1682,439
1007,685,1520
1563,313,1648
193,1419,500
1068,1112,652
420,1581,362
480,1521,983
1566,321,1477
237,1345,372
1535,292,1432
1743,1005,1695
1014,1064,437
607,3014,421
720,2916,597
1543,2680,882
1068,1068,360
1092,1049,274
441,1657,341
1060,650,1138
1026,692,1095
2054,1799,1032
467,1537,319
463,1550,918
235,636,280
448,1587,427
278,752,382
447,1680,416
178,1343,255
1563,255,1342
1036,691,1077
1208,2381,621
247,669,300
249,672,611
1030,687,1138
1590,238,1417
479,1604,218
228,1293,220
234,784,191
1030,687,1175
1026,985,287
1583,216,1274
1032,688,1036
114,1509,323
1721,1072,1665
1474,330,1656
1441,360,1420
1020,739,1632
193,1418,201
277,647,358
428,1518,178
1426,357,1416
195,1431,284
429,1612,64
214,1429,207
1020,709,1024
994,994,445
440,1562,39
1453,298,764
1008,969,688
303,707,260
1434,359,1358
1019,679,1084
491,2118,489
1051,970,667
471,1577,80
1448,362,1495
463,1549,189
2077,1663,1675
1701,3863,361
1466,367,1213
1046,965,783
1037,996,220
1425,356,1180
1023,682,1171
460,1456,186
463,1465,234
1481,2483,1157
1184,2392,888
171,620,28
204,722,118
477,1512,190
1427,357,1253
1192,1733,861
1420,312,1166
479,1602,168
1671,1038,1512
992,992,396
219,656,217
182,1471,213
1043,695,1005
993,993,346
1214,2148,1289
1914,1939,1933
1213,1753,533
1207,2125,1380
1036,691,1190
1511,2503,513
457,1530,623
442,1566,918
962,962,1070
642,1004,1661
889,102,805
1455,364,1250
1113,1418,1283
176,1422,490
985,985,480
452,1489,299
2389,1125,2191
1382,2277,1148
2107,2610,2177
1221,2176,1339
449,1593,95
3143,4413,2749
207,734,244
208,696,260
1221,2176,1092
204,645,279
1897,1893,1290
446,1627,115
199,798,189
1542,305,1094
1134,1805,319
1404,2333,1325
1709,1860,1122
1109,1594,1315
1464,366,1180
1002,1002,430
461,1543,394
214,652,143
390,2212,477
187,1512,111
1906,1984,1534
1982,1740,1869
